symbol,date,open,high,low,close,volume
ACB,2025-04-13,59196,60551,59033,59807,160217
ACB,2025-04-12,59221,59342,58346,59280,271182
ACB,2025-04-11,57254,58885,57151,57912,842249
ACB,2025-04-10,59229,60485,58410,59504,336286
ACB,2025-04-09,59616,60552,58217,58888,435022
ACB,2025-04-08,60195,61017,58566,59473,109144
ACB,2025-04-07,58045,59524,57489,58605,329240
ACB,2025-04-06,57067,57390,56080,56319,922648
ACB,2025-04-05,57752,58809,57477,58570,768267
ACB,2025-04-04,57509,58562,57423,58214,909786
ACB,2025-04-03,58367,58926,57292,57556,484919
ACB,2025-04-02,58764,59568,58219,58927,196794
ACB,2025-04-01,59865,60443,58702,58997,504993
ACB,2025-03-31,57924,58160,56978,57739,198128
ACB,2025-03-30,57443,58219,56424,57232,742219
ACB,2025-03-29,58091,58245,57201,58063,474802
ACB,2025-03-28,58464,58785,58265,58525,769194
ACB,2025-03-27,56784,58041,55852,57164,178170
ACB,2025-03-26,56503,58352,55982,57465,709676
ACB,2025-03-25,58320,59588,58148,58920,802271
ACB,2025-03-24,56188,57976,56065,56986,286911
ACB,2025-03-23,58365,59349,57513,58680,864242
ACB,2025-03-22,58195,58793,57259,58255,240198
ACB,2025-03-21,56563,57965,56084,57053,769287
ACB,2025-03-20,56828,57099,55895,56302,343480
ACB,2025-03-19,55604,56433,54406,55108,650305
ACB,2025-03-18,53911,55495,53784,54573,226327
ACB,2025-03-17,58556,59393,57294,58047,974512
ACB,2025-03-16,54225,55741,54075,54877,481481
ACB,2025-03-15,53752,54904,53524,54126,801542
ACB,2025-03-14,54133,55309,53357,54937,175720
ACB,2025-03-13,56879,57531,55909,56993,996718
ACB,2025-03-12,54771,56072,53981,55326,601305
ACB,2025-03-11,55812,57503,55225,56534,228051
ACB,2025-03-10,57015,58487,56437,57597,282009
ACB,2025-03-09,57007,57154,56856,57013,164112
ACB,2025-03-08,56754,57655,56181,56838,889541
ACB,2025-03-07,55299,55771,54260,54624,726588
ACB,2025-03-06,54102,54565,53940,53958,915810
ACB,2025-03-05,55126,56106,54347,54940,318294
ACB,2025-03-04,55649,56489,55017,56189,119693
ACB,2025-03-03,55167,55859,54264,55285,425778
ACB,2025-03-02,55849,56131,54653,55238,925269
ACB,2025-03-01,53871,54399,53659,53682,161873
ACB,2025-02-28,56041,56529,54776,55176,903034
ACB,2025-02-27,55613,56182,55096,55124,597066
ACB,2025-02-26,54537,54667,54154,54215,767124
ACB,2025-02-25,52484,53520,52468,52981,707115
ACB,2025-02-24,54427,55369,53885,55028,746023
ACB,2025-02-23,53251,54289,53027,53366,431712
ACB,2025-02-22,54173,56058,53583,55077,179587
ACB,2025-02-21,55173,56110,54268,54880,663052
ACB,2025-02-20,53760,54378,52580,53549,870022
ACB,2025-02-19,53916,54487,53429,53433,656684
ACB,2025-02-18,52631,52688,51777,52580,891022
ACB,2025-02-17,54549,55657,54500,54908,405764
ACB,2025-02-16,53036,53995,52538,53231,904059
ACB,2025-02-15,54102,55218,53554,55096,666310
ACB,2025-02-14,54836,55990,54703,55072,437264
ACB,2025-02-13,52906,53146,51098,51915,479928
ACB,2025-02-12,54523,54674,53126,53541,733277
ACB,2025-02-11,53379,53432,52182,52722,749959
ACB,2025-02-10,52691,53466,52218,52274,379800
ACB,2025-02-09,53767,55029,53525,54509,272676
ACB,2025-02-08,51775,52180,51209,51621,137435
ACB,2025-02-07,52286,53737,51465,53087,307257
ACB,2025-02-06,53524,54464,53515,54160,678478
ACB,2025-02-05,51342,52060,51288,51656,661245
ACB,2025-02-04,51608,52959,51086,52219,722431
ACB,2025-02-03,52751,53332,51764,52655,224099
ACB,2025-02-02,51446,51626,50042,50863,361903
ACB,2025-02-01,50461,52168,49961,51279,950314
ACB,2025-01-31,50997,51287,50241,50776,854409
ACB,2025-01-30,50292,50466,49420,49728,204016
ACB,2025-01-29,52359,53488,51447,52958,197550
ACB,2025-01-28,50077,50874,49217,49572,716038
ACB,2025-01-27,53327,53432,52880,53382,224615
ACB,2025-01-26,51344,52006,51079,51079,195269
ACB,2025-01-25,50402,51280,49178,49968,345493
ACB,2025-01-24,50000,50814,48422,49296,174973
ACB,2025-01-23,49531,50343,49375,49902,544037
ACB,2025-01-22,50221,50854,49109,49945,248152
ACB,2025-01-21,51339,52709,51219,51839,265104
ACB,2025-01-20,50824,51500,50654,50970,573058
ACB,2025-01-19,51807,52045,50137,50917,673578
ACB,2025-01-18,49808,50373,48601,49083,519295
ACB,2025-01-17,50208,51123,49294,50204,901168
ACB,2025-01-16,49483,50479,48742,49702,803298
ACB,2025-01-15,52598,52769,51183,51734,764582
ACB,2025-01-14,47707,49457,47331,48661,840206
BCM,2025-04-13,61172,61984,60745,60997,470894
BCM,2025-04-12,59194,59486,58294,59337,892519
BCM,2025-04-11,58292,59382,57979,59052,506357
BCM,2025-04-10,61507,62387,59792,60639,655981
BCM,2025-04-09,59629,60406,58600,59423,227567
