symbol,sentiment,score,explanation,timestamp,note,news_title,news_date,news_source
ACB,positive,0.72,Văn bản chứa nhiều từ khóa tích cực về ACB,2025-04-13 22:13:21,Dữ liệu được tạo tự động do Gemini API không khả dụng,ACB: Công bố báo cáo tài chính quý với kết quả tích cực,2025-04-13,CafeF
ACB,neutral,-0.11,Văn bản có nội dung trung tính hoặc không rõ ràng về ACB,2025-04-13 22:13:22,Dữ liệu được tạo tự động do Gemini API không khả dụng,ACB: Thông báo chi trả cổ tức năm tài chính,2025-04-10,CafeF
ACB,neutral,0.08,Văn bản có nội dung trung tính hoặc không rõ ràng về ACB,2025-04-13 22:13:23,Dữ liệu được tạo tự động do Gemini API không khả dụng,ACB: Kế hoạch mở rộng thị trường trong năm tới,2025-04-07,CafeF
ACB,neutral,-0.09,Văn bản có nội dung trung tính hoặc không rõ ràng về ACB,2025-04-13 22:13:24,Dữ liệu được tạo tự động do Gemini API không khả dụng,ACB: Ký kết hợp đồng hợp tác chiến lược mới,2025-04-04,CafeF
ACB,neutral,0.1,Văn bản có nội dung trung tính hoặc không rõ ràng về ACB,2025-04-13 22:13:25,Dữ liệu được tạo tự động do Gemini API không khả dụng,ACB: Thay đổi nhân sự cấp cao trong ban lãnh đạo,2025-04-01,CafeF
ACB,neutral,-0.01,Văn bản có nội dung trung tính hoặc không rõ ràng về ACB,2025-04-13 22:13:26,Dữ liệu được tạo tự động do Gemini API không khả dụng,ACB: Triển khai dự án đầu tư mới tại thị trường nước ngoài,2025-03-29,CafeF
ACB,positive,0.86,Văn bản chứa nhiều từ khóa tích cực về ACB,2025-04-13 22:13:27,Dữ liệu được tạo tự động do Gemini API không khả dụng,ACB: Công bố kế hoạch phát hành cổ phiếu tăng vốn,2025-03-26,CafeF
ACB,neutral,-0.01,Văn bản có nội dung trung tính hoặc không rõ ràng về ACB,2025-04-13 22:13:28,Dữ liệu được tạo tự động do Gemini API không khả dụng,ACB: Tổ chức sự kiện ra mắt sản phẩm mới,2025-03-23,CafeF
ACB,neutral,0.06,Văn bản có nội dung trung tính hoặc không rõ ràng về ACB,2025-04-13 22:13:29,Dữ liệu được tạo tự động do Gemini API không khả dụng,ACB: Nhận giải thưởng doanh nghiệp xuất sắc,2025-03-20,CafeF
ACB,positive,0.72,Văn bản chứa nhiều từ khóa tích cực về ACB,2025-04-13 22:13:30,Dữ liệu được tạo tự động do Gemini API không khả dụng,ACB: Thông báo kết quả kinh doanh vượt kế hoạch,2025-03-17,CafeF
BCM,positive,0.78,Văn bản chứa nhiều từ khóa tích cực về BCM,2025-04-13 22:13:31,Dữ liệu được tạo tự động do Gemini API không khả dụng,BCM: Công bố báo cáo tài chính quý với kết quả tích cực,2025-04-13,CafeF
BCM,neutral,-0.18,Văn bản có nội dung trung tính hoặc không rõ ràng về BCM,2025-04-13 22:13:32,Dữ liệu được tạo tự động do Gemini API không khả dụng,BCM: Thông báo chi trả cổ tức năm tài chính,2025-04-10,CafeF
BCM,neutral,0.06,Văn bản có nội dung trung tính hoặc không rõ ràng về BCM,2025-04-13 22:13:33,Dữ liệu được tạo tự động do Gemini API không khả dụng,BCM: Kế hoạch mở rộng thị trường trong năm tới,2025-04-07,CafeF
BCM,neutral,-0.08,Văn bản có nội dung trung tính hoặc không rõ ràng về BCM,2025-04-13 22:13:35,Dữ liệu được tạo tự động do Gemini API không khả dụng,BCM: Ký kết hợp đồng hợp tác chiến lược mới,2025-04-04,CafeF
BCM,neutral,-0.13,Văn bản có nội dung trung tính hoặc không rõ ràng về BCM,2025-04-13 22:13:36,Dữ liệu được tạo tự động do Gemini API không khả dụng,BCM: Thay đổi nhân sự cấp cao trong ban lãnh đạo,2025-04-01,CafeF
BCM,neutral,-0.08,Văn bản có nội dung trung tính hoặc không rõ ràng về BCM,2025-04-13 22:13:37,Dữ liệu được tạo tự động do Gemini API không khả dụng,BCM: Triển khai dự án đầu tư mới tại thị trường nước ngoài,2025-03-29,CafeF
BCM,positive,0.88,Văn bản chứa nhiều từ khóa tích cực về BCM,2025-04-13 22:13:38,Dữ liệu được tạo tự động do Gemini API không khả dụng,BCM: Công bố kế hoạch phát hành cổ phiếu tăng vốn,2025-03-26,CafeF
BCM,neutral,0.1,Văn bản có nội dung trung tính hoặc không rõ ràng về BCM,2025-04-13 22:13:39,Dữ liệu được tạo tự động do Gemini API không khả dụng,BCM: Tổ chức sự kiện ra mắt sản phẩm mới,2025-03-23,CafeF
BCM,neutral,-0.2,Văn bản có nội dung trung tính hoặc không rõ ràng về BCM,2025-04-13 22:13:40,Dữ liệu được tạo tự động do Gemini API không khả dụng,BCM: Nhận giải thưởng doanh nghiệp xuất sắc,2025-03-20,CafeF
BCM,positive,0.36,Văn bản chứa nhiều từ khóa tích cực về BCM,2025-04-13 22:13:41,Dữ liệu được tạo tự động do Gemini API không khả dụng,BCM: Thông báo kết quả kinh doanh vượt kế hoạch,2025-03-17,CafeF
BID,positive,0.65,Văn bản chứa nhiều từ khóa tích cực về BID,2025-04-13 22:13:42,Dữ liệu được tạo tự động do Gemini API không khả dụng,BID: Công bố báo cáo tài chính quý với kết quả tích cực,2025-04-13,CafeF
BID,neutral,-0.03,Văn bản có nội dung trung tính hoặc không rõ ràng về BID,2025-04-13 22:13:43,Dữ liệu được tạo tự động do Gemini API không khả dụng,BID: Thông báo chi trả cổ tức năm tài chính,2025-04-10,CafeF
BID,neutral,0.1,Văn bản có nội dung trung tính hoặc không rõ ràng về BID,2025-04-13 22:13:44,Dữ liệu được tạo tự động do Gemini API không khả dụng,BID: Kế hoạch mở rộng thị trường trong năm tới,2025-04-07,CafeF
BID,neutral,0.17,Văn bản có nội dung trung tính hoặc không rõ ràng về BID,2025-04-13 22:13:45,Dữ liệu được tạo tự động do Gemini API không khả dụng,BID: Ký kết hợp đồng hợp tác chiến lược mới,2025-04-04,CafeF
BID,neutral,-0.12,Văn bản có nội dung trung tính hoặc không rõ ràng về BID,2025-04-13 22:13:46,Dữ liệu được tạo tự động do Gemini API không khả dụng,BID: Thay đổi nhân sự cấp cao trong ban lãnh đạo,2025-04-01,CafeF
BID,neutral,-0.08,Văn bản có nội dung trung tính hoặc không rõ ràng về BID,2025-04-13 22:13:47,Dữ liệu được tạo tự động do Gemini API không khả dụng,BID: Triển khai dự án đầu tư mới tại thị trường nước ngoài,2025-03-29,CafeF
BID,positive,0.88,Văn bản chứa nhiều từ khóa tích cực về BID,2025-04-13 22:13:48,Dữ liệu được tạo tự động do Gemini API không khả dụng,BID: Công bố kế hoạch phát hành cổ phiếu tăng vốn,2025-03-26,CafeF
BID,neutral,0.18,Văn bản có nội dung trung tính hoặc không rõ ràng về BID,2025-04-13 22:13:49,Dữ liệu được tạo tự động do Gemini API không khả dụng,BID: Tổ chức sự kiện ra mắt sản phẩm mới,2025-03-23,CafeF
BID,neutral,0.17,Văn bản có nội dung trung tính hoặc không rõ ràng về BID,2025-04-13 22:13:50,Dữ liệu được tạo tự động do Gemini API không khả dụng,BID: Nhận giải thưởng doanh nghiệp xuất sắc,2025-03-20,CafeF
BID,positive,0.44,Văn bản chứa nhiều từ khóa tích cực về BID,2025-04-13 22:13:51,Dữ liệu được tạo tự động do Gemini API không khả dụng,BID: Thông báo kết quả kinh doanh vượt kế hoạch,2025-03-17,CafeF
BVH,positive,0.54,Văn bản chứa nhiều từ khóa tích cực về BVH,2025-04-13 22:13:52,Dữ liệu được tạo tự động do Gemini API không khả dụng,BVH: Công bố báo cáo tài chính quý với kết quả tích cực,2025-04-13,CafeF
BVH,neutral,-0.1,Văn bản có nội dung trung tính hoặc không rõ ràng về BVH,2025-04-13 22:13:53,Dữ liệu được tạo tự động do Gemini API không khả dụng,BVH: Thông báo chi trả cổ tức năm tài chính,2025-04-10,CafeF
BVH,neutral,-0.02,Văn bản có nội dung trung tính hoặc không rõ ràng về BVH,2025-04-13 22:13:54,Dữ liệu được tạo tự động do Gemini API không khả dụng,BVH: Kế hoạch mở rộng thị trường trong năm tới,2025-04-07,CafeF
BVH,neutral,0.07,Văn bản có nội dung trung tính hoặc không rõ ràng về BVH,2025-04-13 22:13:55,Dữ liệu được tạo tự động do Gemini API không khả dụng,BVH: Ký kết hợp đồng hợp tác chiến lược mới,2025-04-04,CafeF
BVH,neutral,-0.08,Văn bản có nội dung trung tính hoặc không rõ ràng về BVH,2025-04-13 22:13:57,Dữ liệu được tạo tự động do Gemini API không khả dụng,BVH: Thay đổi nhân sự cấp cao trong ban lãnh đạo,2025-04-01,CafeF
BVH,neutral,0.08,Văn bản có nội dung trung tính hoặc không rõ ràng về BVH,2025-04-13 22:13:58,Dữ liệu được tạo tự động do Gemini API không khả dụng,BVH: Triển khai dự án đầu tư mới tại thị trường nước ngoài,2025-03-29,CafeF
BVH,positive,0.68,Văn bản chứa nhiều từ khóa tích cực về BVH,2025-04-13 22:13:59,Dữ liệu được tạo tự động do Gemini API không khả dụng,BVH: Công bố kế hoạch phát hành cổ phiếu tăng vốn,2025-03-26,CafeF
BVH,neutral,-0.12,Văn bản có nội dung trung tính hoặc không rõ ràng về BVH,2025-04-13 22:14:00,Dữ liệu được tạo tự động do Gemini API không khả dụng,BVH: Tổ chức sự kiện ra mắt sản phẩm mới,2025-03-23,CafeF
BVH,neutral,0.13,Văn bản có nội dung trung tính hoặc không rõ ràng về BVH,2025-04-13 22:14:01,Dữ liệu được tạo tự động do Gemini API không khả dụng,BVH: Nhận giải thưởng doanh nghiệp xuất sắc,2025-03-20,CafeF
